순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
161,박하경 여행기,2023-06-07,21235800 ,0,2084,34,한국,한국,씨제이 씨지브이(CJ CGV)(주)
162,인드림,2023-06-21,14933750 ,0,2005,45,한국,한국,주식회사 원더스튜디오
163,아줌마,2023-11-29,16168781 ,0,1991,30,한국,"한국,싱가포르","(주)싸이더스,스튜디오 에이드"
164,버텨내고 존재하기,2023-11-01,18554914 ,0,1856,28,한국,한국,(주)엣나인필름
165,만해 한용운 님의침묵,2023-06-29,21566949 ,0,1799,10,한국,한국,시네마 뉴원
166,티빙 오리지널 운수 오진 날,2023-11-17,20822500 ,0,1797,9,한국,한국,씨제이 씨지브이(CJ CGV)(주)
167,여섯 개의 밤,2023-03-29,15038597 ,0,1796,34,한국,한국,㈜인디스토리
168,불멸의 여자,2023-04-05,14207696 ,0,1696,22,한국,한국,"(주)드림팩트엔터테인먼트,(주)아크메"
169,그림자 고백,2023-11-25,16877200 ,0,1653,7,한국,한국,와이드 릴리즈(주)
170,나는 마을 방과후 교사입니다,2023-01-11,14912599 ,0,1639,23,한국,한국,(주)스튜디오그레인풀
171,실버맨,2023-06-14,9213600 ,0,1608,10,한국,한국,(주)이놀미디어
172,뿌까의 짜장면파티,2022-07-04,9511000 ,0,1583,11,한국,한국,(주)에픽캔
173,백지영 콘서트 인 시네마,2023-11-10,14346450 ,0,1558,47,한국,한국,"롯데컬처웍스(주)롯시플,(주)영화사 그램"
174,겨울 이야기,2023-01-18,6939399 ,0,1366,22,한국,한국,"와이드 릴리즈(주),시네마 뉴원"
175,컨버세이션,2023-02-23,11122198 ,0,1361,21,한국,한국,필름다빈
176,몸값part.1,2023-07-05,13274613 ,0,1357,54,한국,한국,메가박스중앙(주)
177,낭만적 공장,2023-04-19,12706155 ,0,1335,27,한국,한국,(주)영화사오원
178,물비늘,2023-12-06,11748700 ,0,1332,18,한국,한국,㈜인디스토리
179,너의 순간,2023-08-16,11297550 ,0,1319,26,한국,한국,영화로운 형제
180,EBS친구들 씽씽 댄스파티,2022-09-20,7904000 ,0,1306,1,한국,한국,(주)에픽캔
181,바람개비,2023-05-10,11959927 ,0,1284,36,한국,한국,(주)디스테이션
182,너를 줍다,2023-11-08,10990501 ,0,1233,28,한국,한국,영화로운 형제
183,붉은 장미의 추억,2023-11-02,9832000 ,0,1218,5,한국,한국,(주)프로젝트42
184,"안녕, 내일 또 만나",2023-09-13,10543223 ,0,1152,21,한국,한국,"(주)영화사 안다미로,영화로운 형제"
185,몸값part.2,2023-07-05,10943283 ,0,1147,48,한국,한국,메가박스중앙(주)
186,플레이 뮤지컬 핑크퐁과 아기상어의 생일파티 대소동,2023-05-17,13850500 ,0,1134,27,한국,한국,씨제이 씨지브이(CJ CGV)(주)
187,뮤지컬 윌리엄과 윌리엄의 윌리엄들,2023-06-28,22543000 ,0,1128,9,한국,한국,주식회사 푸른잎커뮤니케이션
188,안나푸르나,2023-06-08,8435856 ,0,1091,16,한국,한국,시네마 뉴원
189,룩앳미 터치미 키스미,2023-12-06,8658500 ,0,1082,7,한국,"한국,말레이시아,인도네시아",시네마 뉴원
190,튤립 모양,2023-04-19,9091099 ,0,1006,31,한국,한국,(주)삼거리픽쳐스
191,무경계,2023-11-30,9424339 ,0,988,9,한국,한국,"(주)빅브라더스,(주)드림팩트엔터테인먼트"
192,오늘 출가합니다,2023-04-05,8491799 ,0,969,20,한국,한국,(주)트리플픽쳐스
193,사랑의 불시착: 라이브 인 서울,2023-11-30,17259500 ,0,951,16,한국,한국,"(주)위즈온센,씨제이 씨지브이(CJ CGV)(주)"
194,보이지 않아,2023-04-19,9032491 ,0,919,29,한국,한국,(주)무비다이브
195,2022 심규선 단독 콘서트 [밤의 정원: 앙코르],2023-07-08,21027000 ,0,906,1,한국,한국,(주)영화사 그램
196,뮤지컬 배니싱,2023-01-03,17419500 ,0,871,5,한국,한국,씨제이 씨지브이(CJ CGV)(주)
197,피아노 프리즘,2023-08-30,6937200 ,0,858,17,한국,한국,필름다빈
198,뮤지컬 번지점프를 하다,2023-01-02,16439500 ,0,822,5,한국,한국,씨제이 씨지브이(CJ CGV)(주)
199,캐리 러브콘서트 케이팝,2023-04-20,8381100 ,0,775,27,한국,한국,씨제이 씨지브이(CJ CGV)(주)
200,데시벨,2022-11-16,6463000 ,0,772,1152,한국,한국,(주)마인드마크
201,무빙 포 워드,2023-12-13,10470000 ,0,760,5,한국,한국,씨제이 씨지브이(CJ CGV)(주)
202,걸스 인 원더랜드 : 벤타엑스 브이알 뮤직시네마 02,2023-11-03,18350000 ,0,734,1,한국,한국,벤타브이알
203,나비효과,2023-06-22,6533500 ,0,718,29,한국,한국,시네마 뉴원
204,마인드 유니버스,2023-09-20,5530000 ,0,648,12,한국,한국,영화사빅
205,라스트필름,2022-12-29,3301500 ,0,620,22,한국,한국,영화배급협동조합 씨네소파
206,너의 시선이 머무는 곳에,2023-09-06,8877000 ,0,592,14,한국,한국,씨제이 씨지브이(CJ CGV)(주)
207,신입사원: 더 무비,2023-08-03,4789000 ,0,587,1,한국,한국,(주)나인플래너스
208,르네에게,2023-12-27,4864900 ,0,543,13,한국,한국,"(주)드림팩트엔터테인먼트,(주)빅브라더스"
209,제시는 그때 스무살이었다,2023-12-14,5753000 ,0,539,2,한국,한국,시네마 뉴원
210,뮤지컬 더 데빌 2021,2023-05-11,10268500 ,0,526,10,한국,한국,씨제이 씨지브이(CJ CGV)(주)
211,어느 날 그녀가 우주에서,2023-11-22,4544000 ,0,523,16,한국,한국,(주)이놀미디어
212,미끼,2023-12-14,4794445 ,0,507,25,한국,한국,"와이드 릴리즈(주),(주)제이앤씨미디어그룹"
212,연악: 나의 운명,2023-08-10,3616800 ,0,507,7,한국,한국,시네마 뉴원
214,뮤지컬 더 데빌 2018,2023-05-10,9894500 ,0,504,10,한국,한국,씨제이 씨지브이(CJ CGV)(주)
215,만인의 연인,2022-12-01,1793000 ,0,473,52,한국,한국,(주)시네마달
216,압꾸정,2022-11-30,4421000 ,0,442,1229,한국,한국,(주)쇼박스
217,군산전기,2023-07-06,3672850 ,0,432,9,한국,한국,주식회사 블루필름웍스
218,희망의 요소,2022-12-29,3443000 ,0,429,6,한국,한국,필름다빈
219,2퍼센트,2023-04-27,2792000 ,0,426,8,한국,한국,시네마 뉴원
220,밥만 잘 사주는 이상한 이사님 극장판,2023-04-12,5968000 ,0,398,18,한국,한국,헤븐리 주식회사
221,경미의 세계,2023-09-20,3009878 ,0,390,13,한국,한국,트윈플러스파트너스(주)
222,탑,2022-11-03,3185000 ,0,357,57,한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다"
223,희수,2022-12-15,2497000 ,0,319,5,한국,한국,영화사 정원
224,살롱 드 서울,2023-06-21,2655750 ,0,311,7,한국,한국,주식회사 씨엠닉스
225,손,2023-06-21,2984055 ,0,305,10,한국,한국,(주)이놀미디어
226,그 노래,2023-08-16,2716300 ,0,272,5,한국,한국,주식회사 씨엠닉스
227,물귀신,2023-11-09,2577000 ,0,265,5,한국,한국,(주)라온컴퍼니플러스
228,머슴바울,2022-11-24,2120000 ,0,263,23,한국,한국,"(주)드림팩트엔터테인먼트,기독교대한감리회"
229,"그 겨울, 나는",2022-11-30,1896500 ,0,227,27,한국,한국,(주)더쿱디스트리뷰션
230,별 볼일 없는 인생,2023-01-12,2034000 ,0,220,7,한국,한국,(주)이놀미디어
230,같은 속옷을 입는 두 여자,2022-11-10,1958500 ,0,220,53,한국,한국,찬란
232,창밖은 겨울,2022-11-24,1336000 ,0,214,55,한국,한국,(주)영화사 진진
233,리향,2023-12-28,1827000 ,0,203,1,한국,한국,(주)영화사 그램
234,뮤지컬 앨리스,2023-06-21,1997500 ,0,200,6,한국,한국,주식회사 푸른잎커뮤니케이션
235,수프와 이데올로기,2022-10-20,1548000 ,0,196,45,한국,한국,(주)엣나인필름
236,뮤지컬 호프,2023-05-11,3580000 ,0,182,9,한국,한국,씨제이 씨지브이(CJ CGV)(주)
237,아포리아,2023-01-26,900000 ,0,180,5,한국,한국,와이드 릴리즈(주)
238,봉태리,2023-10-11,1862500 ,0,179,21,한국,한국,(주)보더레스랩
239,뮤지컬 청춘소음,2023-06-07,2899500 ,0,145,7,한국,한국,주식회사 푸른잎커뮤니케이션
240,레이디,2023-07-26,541300 ,0,143,3,한국,한국,주식회사 씨엠닉스
241,관계의 일변,2023-02-01,717000 ,0,121,4,한국,한국,주식회사 씨엠닉스
242,혜옥이,2022-12-08,810000 ,0,117,23,한국,한국,(주)트리플픽쳐스
243,육지것들,2023-06-08,980850 ,0,93,5,한국,한국,주식회사 씨엠닉스
244,세이레,2022-11-24,414000 ,0,83,70,한국,한국,트윈플러스파트너스(주)
245,민족,2023-03-01,250000 ,0,79,4,한국,한국,주식회사 씨엠닉스
246,김재훈의 피.엔.오,2023-06-14,779500 ,0,78,5,한국,한국,주식회사 푸른잎커뮤니케이션
