순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
134,정글북: 마법 원정대,2019-03-21,194472710 ,0,25419,372,러시아,러시아,(주)박수엔터테인먼트
135,칠드런 액트,2019-07-04,204263320 ,0,25256,61,영국,영국,(주)홈초이스
136,극장판 포켓몬스터 모두의 이야기,2018-12-19,209509550 ,0,25015,493,일본,일본,(주)이수C&E
137,모험왕 블링키,2019-02-20,174676220 ,0,24787,226,호주,호주,(주)라이크콘텐츠
138,여대생 기숙사에서 생긴 일,2019-09-10,70790360 ,0,23312,1,미국,미국,제인앤유
139,철벽선생,2019-03-14,187345700 ,0,22562,182,일본,일본,(주)미디어캐슬
140,이스케이프 게임,2019-10-11,66331020 ,0,22451,2,독일,독일,제인앤유
141,숲속왕국의 꿀벌 여왕,2019-03-14,172105990 ,0,22241,372,프랑스,프랑스,(주)팝엔터테인먼트
142,사이코패스,2019-09-18,62031400 ,0,21603,1,미국,미국,제인앤유
143,잃어버린 세계를 찾아서,2019-10-09,161271360 ,0,21252,279,미국,미국,(주)이수C&E
144,로마,2018-12-12,175611636 ,0,21168,32,멕시코,멕시코,판씨네마(주)
145,리노,2019-03-07,155296020 ,0,20699,322,브라질,브라질,(주)스톰픽쳐스코리아
146,미드 90,2019-09-25,169119288 ,0,20475,107,미국,미국,"오드,(주)홈초이스"
147,결혼 이야기,2019-11-27,163322560 ,0,20114,83,영국,영국,판씨네마(주)
148,나의 히어로 아카데미아 더 무비: 두 명의 히어로,2019-05-16,162979210 ,0,19917,85,일본,일본,(주)리틀빅픽쳐스
149,미스 스티븐스,2019-05-02,162310610 ,0,19837,64,미국,미국,(주)티캐스트
150,더 킹: 헨리 5세,2019-10-23,149888820 ,0,19503,146,네덜란드,네덜란드,판씨네마(주)
151,지구공룡대탐험,2019-08-15,148474640 ,0,19419,265,미국,미국,와이드 릴리즈(주)
152,뱅드림! 필름 라이브,2019-09-26,166464110 ,0,19264,78,일본,일본,(주)애니플러스
153,레토,2019-01-03,166459680 ,0,19221,112,러시아,"러시아,프랑스","(주)엣나인필름,플레이리스트(주)"
154,경계선,2019-10-24,148261880 ,0,17714,48,스웨덴,"스웨덴,덴마크",(주)제이앤씨미디어그룹
155,유랑지구,2019-04-18,147817410 ,0,17637,178,중국,중국,(주)키다리이엔티
156,빌리어네어 보이즈클럽,2019-01-10,153885800 ,0,17410,166,미국,미국,"(주)키다리이엔티,플레이리스트(주)"
157,프렌즈: 둥지탈출,2019-05-01,118243260 ,0,17205,184,독일,독일,(주)박수엔터테인먼트
158,호크니,2019-08-08,138404352 ,0,16941,44,영국,영국,"그린나래미디어(주),(주)키다리이엔티"
159,아이스,2019-02-07,132095780 ,0,16695,110,러시아,러시아,(주)마노엔터테인먼트
160,"고흐, 영원의 문에서",2019-12-26,130990960 ,0,16691,68,미국,"미국,프랑스",(주)팝엔터테인먼트
161,조,2019-07-11,134749096 ,0,16675,69,미국,미국,(주)팝엔터테인먼트
162,두 교황,2019-12-11,123999040 ,0,16427,66,미국,"미국,영국,이탈리아,아르헨티나",판씨네마(주)
163,와일드 로즈,2019-10-17,123934040 ,0,16415,152,영국,영국,판씨네마(주)
164,라라와 움직이는 비밀의 숲,2019-08-22,116175960 ,0,16196,237,중국,중국,(주)박수엔터테인먼트
165,행복한 라짜로,2019-06-20,127844240 ,0,16113,35,이탈리아,이탈리아,주식회사 슈아픽처스
166,이케아 옷장에서 시작된 특별난 여행,2019-07-18,127812770 ,0,15627,71,프랑스,프랑스,(주)스마일이엔티
167,킹 오브 프리즘 -샤이니 세븐 스타즈-,2019-03-07,135322210 ,0,15597,43,일본,일본,동우에이앤이(주)
168,파리의 딜릴리,2019-05-29,130301587 ,0,15440,36,프랑스,프랑스,오드
169,크리드2,2019-02-21,122284190 ,0,15023,298,미국,미국,워너브러더스 코리아(주)
170,모리스,2019-11-07,124682523 ,0,15009,50,영국,영국,알토미디어(주)
171,프렌드 존,2019-10-30,118749200 ,0,14991,104,태국,태국,(주)디스테이션
172,돈 워리,2019-07-25,116449854 ,0,14684,55,미국,미국,"그린나래미디어(주),(주)다날엔터테인먼트"
173,수영장으로 간 남자들,2019-07-18,116496096 ,0,14518,79,프랑스,프랑스,(주)엣나인필름
174,아사코,2019-03-14,124515619 ,0,14441,167,일본,일본,(주)이수C&E
175,뷰티풀 보이,2019-09-19,112988198 ,0,14432,130,미국,미국,(주)이수C&E
176,양지의 그녀,2019-03-21,124350580 ,0,14350,134,일본,일본,(주)영화사오원
177,벤 이즈 백,2019-05-09,110333865 ,0,14058,78,미국,미국,(주)팝엔터테인먼트
178,킹 오브 프리즘 –샤이니 세븐 스타즈- IV 루이x신x언노운,2019-05-30,118122030 ,0,13993,30,일본,일본,동우에이앤이(주)
179,체크 히어로,2019-10-23,101176750 ,0,13951,221,덴마크,덴마크,예지림엔터테인먼트
180,사랑은 비가 갠 뒤처럼,2019-02-07,113747620 ,0,13500,100,일본,일본,(주)디스테이션
181,나의 작은 시인에게,2019-04-04,106432044 ,0,13352,46,미국,미국,(주)엣나인필름
182,키코리키: 시간여행,2019-04-10,95865460 ,0,13222,292,러시아,러시아,(주)박수엔터테인먼트
183,미스터 스마일,2018-12-27,103441500 ,0,13210,56,미국,미국,(주)티캐스트
184,오피셜 시크릿,2019-11-27,105679300 ,0,13163,153,영국,영국,(주)팬엔터테인먼트
185,언더 더 씨2,2019-05-23,92593360 ,0,13086,269,미국,미국,이언픽쳐스
186,빅 2: 황금열쇠 대소동,2019-10-30,96947060 ,0,12744,257,인도,인도,(주)영화사 그램
187,옷코는 초등학생 사장님!,2019-02-27,95118580 ,0,12611,155,일본,일본,(주)트리플픽쳐스
188,슈퍼 햄찌,2019-09-26,94640540 ,0,12493,209,핀란드,핀란드,와이드 릴리즈(주)
189,아스테릭스: 마법 물약의 비밀,2019-12-12,77570680 ,0,12470,166,프랑스,프랑스,(주)박수엔터테인먼트
190,피터팬: 후크 선장과 결투의 날,2019-05-30,92201100 ,0,12220,129,아일랜드,아일랜드,(주)팝엔터테인먼트
191,디어 마이 프렌드,2019-10-09,94993100 ,0,11929,136,미국,미국,(주)팝엔터테인먼트
192,출동! 도토리 구조대,2019-03-28,86682260 ,0,11676,260,미국,미국,(주)디스테이션
193,퍼스트 리폼드,2019-04-11,91830800 ,0,11673,54,미국,미국,(주)올스타엔터테인먼트
194,살인마 잭의 집,2019-02-21,103616547 ,0,11530,68,덴마크,덴마크,(주)엣나인필름
195,청춘 돼지는 꿈꾸는 소녀의 꿈을 꾸지 않는다,2019-08-22,95778380 ,0,11486,46,일본,일본,(주)애니플러스
196,고양이 여행 리포트,2019-05-09,93880620 ,0,11321,76,일본,일본,아이 엠
197,오션스: 문어구출대작전,2019-10-03,83373580 ,0,11055,191,중국,중국,와이드 릴리즈(주)
198,룩 어웨이,2019-08-21,23390800 ,0,11022,50,캐나다,캐나다,(주)드림팩트엔터테인먼트
199,꼬마 물고기 이자벨: 바다 대모험,2019-07-18,78359740 ,0,10998,121,미국,미국,와이드 릴리즈(주)
200,더 컨덕터,2019-11-14,92151420 ,0,10977,35,네덜란드,네덜란드,(주)라이크콘텐츠
